code,name,slug,rarity,burst,burst_stage,cooldown,element,class,corporation,weapon,status,note,image,face_image,full_image,parsed
5008,블랑,blanc,SSR,2,2,60.0,풍압,방어형,테트라,AR,,,blanc.webp,face/blanc.webp,blanc.webp,True
5009,누아르,noir,SSR,3,3,40.0,풍압,화력형,테트라,SG,,,noir.webp,face/noir.webp,noir.webp,True
5049,루주,rouge,SSR,1,1,20.0,전격,지원형,테트라,SR,,,rouge.webp,face/rouge.webp,rouge.webp,True
5045,로산나,rosanna,SSR,1,1,40.0,전격,화력형,테트라,MG,,,rosanna.webp,face/rosanna.webp,rosanna.webp,True
1021,목단,moran,SSR,1,1,40.0,전격,방어형,테트라,AR,,,moran.webp,face/moran.webp,moran.webp,True
3015,사쿠라,sakura,SSR,1,1,40.0,작열,지원형,테트라,SR,,,sakura.webp,face/sakura.webp,sakura.webp,True
5116,로산나 : 시크 오션,rosanna-chic-ocean,SSR,2,2,20.0,풍압,지원형,테트라,AR,,,rosanna-chic-ocean.webp,face/rosanna-chic-ocean.webp,rosanna-chic-ocean.webp,True
5117,사쿠라 : 블룸 인 서머,sakura-bloom-in-summer,SSR,3,3,40.0,풍압,화력형,테트라,AR,,,sakura-bloom-in-summer.webp,face/sakura-bloom-in-summer.webp,sakura-bloom-in-summer.webp,True
1019,마나,mana,SSR,3,3,40.0,풍압,화력형,미실리스,AR,,,mana.webp,face/mana.webp,mana.webp,True
3010,에테르,ether,SR,1,1,40.0,전격,방어형,미실리스,SG,,,ether.webp,face/ether.webp,ether.webp,True
1013,솔져 E.G.,soldier-eg,R,3,3,40.0,전격,화력형,엘리시온,AR,,,soldier-eg.webp,face/soldier-eg.webp,soldier-eg.webp,True
1014,솔져 F.A.,soldier-fa,R,2,2,20.0,철갑,방어형,엘리시온,SG,,,soldier-fa.webp,face/soldier-fa.webp,soldier-fa.webp,True
1015,프로덕트 08,product-08,R,1,1,20.0,전격,지원형,미실리스,SR,,,product-08.webp,face/product-08.webp,product-08.webp,True
1016,프로덕트 12,product-12,R,3,3,40.0,작열,화력형,미실리스,MG,,,product-12.webp,face/product-12.webp,product-12.webp,True
1017,iDoll 플라워,idoll-flower,R,1,1,20.0,풍압,방어형,테트라,RL,,,idoll-flower.webp,face/idoll-flower.webp,idoll-flower.webp,True
1018,iDoll 오션,idoll-ocean,R,1,1,20.0,수냉,지원형,테트라,SMG,unsupported,순수 힐러 — 딜 수치를 믿지 말 것,idoll-ocean.webp,face/idoll-ocean.webp,idoll-ocean.webp,True
1025,솔져 O.W.,soldier-ow,R,1,1,20.0,작열,지원형,엘리시온,SMG,,,soldier-ow.webp,face/soldier-ow.webp,soldier-ow.webp,True
1024,프로덕트 23,product-23,R,2,2,20.0,풍압,지원형,미실리스,SG,,,product-23.webp,face/product-23.webp,product-23.webp,True
1023,iDoll 썬,idoll-sun,R,3,3,40.0,철갑,지원형,테트라,AR,,,idoll-sun.webp,face/idoll-sun.webp,idoll-sun.webp,True
5046,에이드,ade,SSR,2,2,20.0,풍압,지원형,테트라,AR,,,ade.webp,face/ade.webp,ade.webp,True
5050,코코아,cocoa,SSR,1,1,20.0,작열,지원형,테트라,SR,unsupported,순수 서포터(해제·엄폐) — 딜 수치를 믿지 말 것,cocoa.webp,face/cocoa.webp,cocoa.webp,True
5051,소다,soda,SSR,1,1,20.0,작열,지원형,테트라,MG,,,soda.webp,face/soda.webp,soda.webp,True
5106,프리바티 : 언카인드 메이드,privaty-unkind-maid,SSR,3,3,40.0,전격,화력형,엘리시온,SG,,,privaty-unkind-maid.webp,face/privaty-unkind-maid.webp,privaty-unkind-maid.webp,True
5113,소다 : 트윙클링 바니,soda-twinkling-bunny,SSR,3,3,40.0,철갑,화력형,테트라,SG,,,soda-twinkling-bunny.webp,face/soda-twinkling-bunny.webp,soda-twinkling-bunny.webp,True
5151,에이드 : 에이전트 바니,ade-agent-bunny,SSR,2,2,20.0,철갑,지원형,테트라,SR,,,ade-agent-bunny.webp,face/ade-agent-bunny.webp,ade-agent-bunny.webp,True
5163,벨벳,velvet,SSR,2,2,20.0,풍압,지원형,테트라,SR,,,velvet.webp,face/velvet.webp,velvet.webp,True
5048,마르차나,marciana,SSR,2,2,20.0,철갑,지원형,엘리시온,SG,unsupported,순수 힐러 — 딜 수치를 믿지 말 것,marciana.webp,face/marciana.webp,marciana.webp,True
5176,마르차나 : 마린 스터디,marciana-marine-study,SSR,3,3,40.0,철갑,화력형,엘리시온,AR,,,marciana-marine-study.webp,face/marciana-marine-study.webp,marciana-marine-study.webp,True
5065,크라운,crown,SSR,2,2,20.0,철갑,방어형,필그림,MG,,,crown.webp,face/crown.webp,crown.webp,True
5157,차임,chime,SSR,2,2,20.0,철갑,지원형,필그림,SMG,,,chime.webp,face/chime.webp,chime.webp,True
5079,마스트,mast,SSR,2,2,20.0,전격,지원형,엘리시온,SMG,,,mast.webp,face/mast.webp,mast.webp,True
5063,앵커,anchor,SR,1,1,20.0,풍압,방어형,엘리시온,RL,unsupported,도발·발사체 — 버스트 자딜만 — 딜 수치를 믿지 말 것,anchor.webp,face/anchor.webp,anchor.webp,True
5066,헬름,helm,SSR,3,3,40.0,수냉,화력형,엘리시온,SR,,,helm.webp,face/helm.webp,helm.webp,True
5098,헬름 : 아쿠아마린,helm-aquamarine,SSR,2,2,20.0,철갑,화력형,엘리시온,AR,,,helm-aquamarine.webp,face/helm-aquamarine.webp,helm-aquamarine.webp,True
5130,마스트 : 로망틱 메이드,mast-romantic-maid,SSR,2,2,40.0,수냉,지원형,엘리시온,MG,,,mast-romantic-maid.webp,face/mast-romantic-maid.webp,mast-romantic-maid.webp,True
5131,앵커 : 이노센트 메이드,anchor-innocent-maid,SSR,2,2,40.0,수냉,지원형,엘리시온,RL,,,anchor-innocent-maid.webp,face/anchor-innocent-maid.webp,anchor-innocent-maid.webp,True
5053,킬로,kilo,SSR,3,3,40.0,작열,방어형,미실리스,MG,,,kilo.webp,face/kilo.webp,kilo.webp,True
5068,네로,nero,SSR,2,2,20.0,작열,방어형,테트라,SMG,,,nero.webp,face/nero.webp,nero.webp,True
5054,비스킷,biscuit,SSR,2,2,40.0,전격,지원형,테트라,RL,,,biscuit.webp,face/biscuit.webp,biscuit.webp,True
5092,레오나,leona,SSR,2,2,20.0,수냉,지원형,테트라,SG,,,leona.webp,face/leona.webp,leona.webp,True
5088,츠바이,zwei,SSR,1,1,20.0,전격,지원형,엘리시온,SG,,,zwei.webp,face/zwei.webp,zwei.webp,True
5077,아인,ein,SSR,3,3,40.0,전격,화력형,미실리스,SR,,,ein.webp,face/ein.webp,ein.webp,True
5069,라이,rei,SSR,1,1,20.0,수냉,방어형,테트라,SMG,unsupported,디코이 탱커 — 게이지 기여만 등록 — 딜 수치를 믿지 말 것,rei.webp,face/rei.webp,rei.webp,True
5055,길티,guilty,SSR,2,2,20.0,풍압,화력형,미실리스,SG,unsupported,핵심(공격력 복제) 미지원 — 딜 수치를 믿지 말 것,guilty.webp,face/guilty.webp,guilty.webp,True
5059,신,sin,SSR,2,2,20.0,전격,방어형,미실리스,AR,unsupported,체력 복제·주목 킷 — 딜 수치를 믿지 말 것,sin.webp,face/sin.webp,sin.webp,True
5078,퀀시,quency,SSR,2,2,20.0,전격,지원형,미실리스,SMG,,,quency.webp,face/quency.webp,quency.webp,True
5121,퀀시 : 이스케이프 퀸,quency-escape-queen,SSR,3,3,40.0,수냉,화력형,미실리스,SMG,,,quency-escape-queen.webp,face/quency-escape-queen.webp,quency-escape-queen.webp,True
5126,플로라,flora,SSR,2,2,40.0,전격,지원형,미실리스,MG,,,flora.webp,face/flora.webp,flora.webp,True
5134,트리나,trina,SSR,2,2,20.0,전격,지원형,미실리스,RL,,,trina.webp,face/trina.webp,trina.webp,True
5074,노이즈,noise,SSR,1,1,40.0,전격,지원형,테트라,RL,,,noise.webp,face/noise.webp,noise.webp,True
5075,볼륨,volume,SSR,1,1,20.0,풍압,화력형,테트라,SMG,,,volume.webp,face/volume.webp,volume.webp,True
5070,아리아,aria,SSR,2,2,40.0,수냉,화력형,테트라,MG,,,aria.webp,face/aria.webp,aria.webp,True
5171,아비스타,avistar,SSR,1,1,20.0,전격,지원형,엘리시온,MG,,,avistar.webp,face/avistar.webp,avistar.webp,True
5099,나가,naga,SSR,2,2,20.0,전격,지원형,미실리스,SG,,,naga.webp,face/naga.webp,naga.webp,True
5100,티아,tia,SSR,1,1,40.0,철갑,방어형,미실리스,RL,unsupported,핵심(엄폐물 회복 트리거) 미지원 — 딜 수치를 믿지 말 것,tia.webp,face/tia.webp,tia.webp,True
5101,레드 후드,red-hood,SSR,A,3,40.0,철갑,화력형,필그림,SR,,,red-hood.webp,face/red-hood.webp,red-hood.webp,True
5161,스노우 화이트 : 헤비암즈,snow-white-heavy-arms,SSR,3,3,40.0,수냉,화력형,필그림,SR,,,snow-white-heavy-arms.webp,face/snow-white-heavy-arms.webp,snow-white-heavy-arms.webp,True
5107,일레그,elegg,SSR,2,2,20.0,전격,지원형,미실리스,MG,,,elegg.webp,face/elegg.webp,elegg.webp,True
5112,트로니,trony,SSR,3,3,40.0,작열,화력형,미실리스,SR,unsupported,핵심(대미지 누적-방출) 미지원 — 딜 수치를 믿지 말 것,trony.webp,face/trony.webp,trony.webp,True
5146,일레그 : 붐 앤 쇼크,elegg-boom-and-shock,SSR,3,3,40.0,수냉,화력형,미실리스,MG,,,elegg-boom-and-shock.webp,face/elegg-boom-and-shock.webp,elegg-boom-and-shock.webp,True
5124,신데렐라,cinderella,SSR,3,3,40.0,전격,방어형,필그림,RL,,,cinderella.webp,face/cinderella.webp,cinderella.webp,True
5137,리틀 머메이드,little-mermaid,SSR,1,1,20.0,풍압,지원형,필그림,SMG,,,little-mermaid.webp,face/little-mermaid.webp,little-mermaid.webp,True
5125,그레이브,grave,SSR,2,2,20.0,작열,지원형,필그림,AR,,,grave.webp,face/grave.webp,grave.webp,True
5175,신데렐라 : 크리스탈 웨이브,cinderella-crystal-wave,SSR,3,3,40.0,철갑,화력형,필그림,MG,,,cinderella-crystal-wave.webp,face/cinderella-crystal-wave.webp,cinderella-crystal-wave.webp,True
5135,브래디,bready,SSR,3,3,40.0,수냉,화력형,테트라,SR,,,bready.webp,face/bready.webp,bready.webp,True
5136,크러스트,crust,SSR,2,2,20.0,수냉,지원형,테트라,RL,unsupported,핵심(비풀차지·차지 홀드 상태 순환) 미지원 — 딜 수치를 믿지 말 것,crust.webp,face/crust.webp,crust.webp,True
5144,소라,sora,SSR,1,1,40.0,풍압,지원형,엘리시온,RL,,,sora.webp,face/sora.webp,sora.webp,True
5111,베이,bay,SSR,2,2,40.0,작열,방어형,테트라,RL,unsupported,엄폐·분배 킷 — 딜 수치를 믿지 말 것,bay.webp,face/bay.webp,bay.webp,True
5115,클레이,clay,SSR,2,2,40.0,전격,지원형,테트라,SMG,,,clay.webp,face/clay.webp,clay.webp,True
5174,아크레인저 블랙,ark-ranger-black,SSR,3,3,40.0,풍압,화력형,테트라,AR,,,ark-ranger-black.webp,face/ark-ranger-black.webp,ark-ranger-black.webp,True
5122,팬텀,phantom,SSR,3,3,40.0,수냉,화력형,엘리시온,AR,,,phantom.webp,face/phantom.webp,phantom.webp,True
5140,아르카나,arcana,SSR,2,2,40.0,전격,지원형,엘리시온,RL,,,arcana.webp,face/arcana.webp,arcana.webp,True
5162,레이블,label,SSR,1,1,20.0,철갑,방어형,엘리시온,AR,,,label.webp,face/label.webp,label.webp,True
5167,아르카나 : 포츈 메이트,arcana-fortune-mate,SSR,2,2,20.0,작열,화력형,엘리시온,SG,,,arcana-fortune-mate.webp,face/arcana-fortune-mate.webp,arcana-fortune-mate.webp,True
5139,모리,mori,SSR,2,2,20.0,풍압,방어형,미실리스,AR,,,mori.webp,face/mori.webp,mori.webp,True
5172,민트,mint,SSR,2,2,20.0,철갑,지원형,테트라,RL,,,mint.webp,face/mint.webp,mint.webp,True
5173,프리카,prika,SSR,2,2,40.0,수냉,지원형,테트라,SR,,,prika.webp,face/prika.webp,prika.webp,True
5168,백학,snow-crane,SSR,2,2,40.0,수냉,방어형,미실리스,SR,unsupported,회복 킷 — 시전자 기준 체력 ▲만 간접 기여 — 딜 수치를 믿지 말 것,snow-crane.webp,face/snow-crane.webp,snow-crane.webp,True
5089,마키마,makima,SSR,2,2,20.0,수냉,방어형,어브노말,SMG,unsupported,스쿼드 기여(피격 트리거) 재현 불가 — 딜 수치를 믿지 말 것,makima.webp,face/makima.webp,makima.webp,True
5090,파워,power,SSR,3,3,40.0,작열,화력형,어브노말,RL,,,power.webp,face/power.webp,power.webp,True
3012,히메노,himeno,SR,2,2,20.0,풍압,지원형,어브노말,SR,,,himeno.webp,face/himeno.webp,himeno.webp,True
